qid	docno	score_delta	query	text	relevance	perturbed	score	rank
1127540	5865961	13.058292	meaning of shebang	: the whole number, quantity, or amount : totality. : used in such phrases as for all I know, for all I care, and for all the good it does to indicate a lack of knowledge, interest, or effectiveness. : everybody, everything. : the whole of one's possessions, resources, or energy.	0	False	-10.008638	245
855410	7128710	12.678347	what is theraderm used for	It is used to trap sunlight for the manufacturing of food.	0	False	-7.3874474	225
1127540	984503	12.455117	meaning of shebang	5. whole (adv.) to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly')	0	False	-10.949689	298
855410	3276027	12.336697	what is theraderm used for	A mental grouping of similar things, events, and people that is used to remember and understand what things are, what they mean, and what categories or groups they belong to.	0	False	-9.529637	289
855410	8751749	12.312429	what is theraderm used for	: to add moisture to (something, such as a person's skin)	0	False	-9.467998	286
855410	2945339	12.130771	what is theraderm used for	1 used to form adjectives Resembling or imitating what is indicated: blitzoid/ cheesoid/ technoid/ zomboid.  used to form nouns Something resembling or imitating what is indicated: flakoid/ fusionoid/ Grouchoid/ klutzoid •This.	0	False	-9.6958065	297
855410	5708492	11.754907	what is theraderm used for	Plants use food to make food and oxygen. The plant then uses this food to create energy released in cellular respiration.	0	False	-10.460966	324
855410	941543	11.640307	what is theraderm used for	The ability of computer systems to exchange information. with other systems. Integration. The ability of computer based applications to interact with. other systems in order to perform a useful function for the user.	0	False	-10.617759	334
855410	7238608	11.577425	what is theraderm used for	How To Moisturize Dry Hair: The cosmetic products generally over load your hair with chemicals. The regular use of these chemical products can sometimes damage the moisture of the hair. The natural oil produced by the hair is the best natural moisturizer.	0	False	-10.411674	322
855410	6978945	11.417385	what is theraderm used for	Noun. 1. skincare-care for the skin. skin care.	0	False	-10.844553	348
855410	4420015	11.275021	what is theraderm used for	Fair use is one of the traditional safety valves intended to balance the interests of copyright holders with the public interest in the wider distribution and use of creative works by allowing certain limited uses that might otherwise be considered infringement.	0	False	-9.40476	284
855410	2851709	11.122398	what is theraderm used for	Selan+® Zinc Oxide Barrier Cream is a light but very effective barrier cream for the prevention of moisture-associated skin damage and pressure ulcers.	0	False	-8.46505	259
855410	5081400	11.120164	what is theraderm used for	Put your best face forward with high-performance skin care. Our range of skin care products cleanses, treats, moisturizes, and protects with results-driven formulas and powerful ingredients.	0	False	-10.694869	343
855410	5021348	11.032064	what is theraderm used for	Reinforcing skincare with cream-based products will help restore sebum and moisture to the skin, thereby delaying the speed at which moisture escapes from the skin. People with combination skin and those who live in island or humid environments can also use cream-based skincare during seasonal changes.	0	False	-9.988884	308
855410	2531289	11.021608	what is theraderm used for	moisturize. 1  to add or restore moisture to (something): to moisturize one's skin with lotion; to moisturize air. 2  to make something moist; counteract a dry condition with moisture: a skin cream that moisturizes while you sleep.	0	False	-9.987299	307
