qid	docno	score_delta	text	perturbed_text	query	relevance
1127540	5865961	13.058296	: the whole number, quantity, or amount : totality. : used in such phrases as for all I know, for all I care, and for all the good it does to indicate a lack of knowledge, interest, or effectiveness. : everybody, everything. : the whole of one's possessions, resources, or energy.	: the whole number, quantity, or amount : totality. : used in such phrases as for all I know, for all I care, and for all the good it does to indicate a lack of knowledge, interest, or effectiveness. : everybody, everything. : the whole of one's possessions, resources, or energy. shebang	meaning of shebang	0
1127540	984503	12.455118	5. whole (adv.) to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly')	5. whole (adv.) to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly') shebang	meaning of shebang	0
768208	7981480	11.368813	sapodilla plum; sapota; sapodilla Hypernyms (sapota is a kind of...): edible fruit (edible reproductive body of a seed plant especially one having sweet flesh)	sapodilla plum; sapota; sapodilla Hypernyms (sapota is a kind of...): edible fruit (edible reproductive body of a seed plant especially one having sweet flesh) mamey	what is mamey	0
768208	3621060	11.245797	Scientific Name: Achras sapota. Chiku plant is a tropical fruit plant and can be grown from sea level up to 1,200 meters. The plant prefers warm and moist weather and can grow both in dry and humid areas. The coastal climate isbest suited to this plant. At higher altitudes, the fruit quality and tree health suffers.	Scientific Name: Achras sapota. Chiku plant is a tropical fruit plant and can be grown from sea level up to 1,200 meters. The plant prefers warm and moist weather and can grow both in dry and humid areas. The coastal climate isbest suited to this plant. At higher altitudes, the fruit quality and tree health suffers. mamey	what is mamey	0
1127540	1178694	10.965622	A hawker centre in Lavender, Singapore. A hawker stall selling glutinous rice. A hawker centre or cooked food centre (Chinese: 小贩中心; pinyin: xiǎofàn zhōngxīn or Chinese: 熟食中心; pinyin: shúshí zhōngxīn) is an open-air complex in Indonesia, Singapore, Malaysia, Hong Kong, and the Riau Islands housing many stalls that sell a variety of inexpensive food.	A hawker centre in Lavender, Singapore. A hawker stall selling glutinous rice. A hawker centre or cooked food centre (Chinese: 小贩中心; pinyin: xiǎofàn zhōngxīn or Chinese: 熟食中心; pinyin: shúshí zhōngxīn) is an open-air complex in Indonesia, Singapore, Malaysia, Hong Kong, and the Riau Islands housing many stalls that sell a variety of inexpensive food. shebang	meaning of shebang	0
1127540	4955486	10.865325	Noun. 1. ecosystem-a system formed by the interaction of a community of organisms with their physical environment. system, scheme-a group of independent but interrelated elements comprising a unified whole; a vast system of production and distribution and consumption keep the country going. Translations.	Noun. 1. ecosystem-a system formed by the interaction of a community of organisms with their physical environment. system, scheme-a group of independent but interrelated elements comprising a unified whole; a vast system of production and distribution and consumption keep the country going. Translations. shebang	meaning of shebang	0
1127540	3785668	10.691931	Shanty town is a part of large cities where poor people live in home-built shacks, often with no electricity or water.	Shanty town is a part of large cities where poor people live in home-built shacks, often with no electricity or water. shebang	meaning of shebang	0
1127540	5728330	10.686103	whole enchilada, Slang. the entirety of something, especially something impressive or outstanding: She has a job with money, prestige, and satisfaction—the whole enchilada.	whole enchilada, Slang. the entirety of something, especially something impressive or outstanding: She has a job with money, prestige, and satisfaction—the whole enchilada. shebang	meaning of shebang	0
1127540	8520269	10.640933	DEFINITION of 'Pension Plan Administrator'. An individual responsible for managing the day-to-day affairs and the strategic decisions involved with a group's pension fund/plan.	DEFINITION of 'Pension Plan Administrator'. An individual responsible for managing the day-to-day affairs and the strategic decisions involved with a group's pension fund/plan. shebang	meaning of shebang	0
768208	4252827	10.560037	Scientific/Latin Name: Common Name: Quararibea cordata: South American Sapote: Quararibea funebris: Rosita de Cacao	Scientific/Latin Name: Common Name: Quararibea cordata: South American Sapote: Quararibea funebris: Rosita de Cacao mamey	what is mamey	0
