qid	docno	score_delta	text	perturbed_text	query	relevance
156493	7610587	13.347705	If you try to grow many plants in gravel as soil a couple may grow tall but most will not grow at all. So, it is possible, but not a good idea.	If you try to grow many plants in gravel as soil a couple may grow tall but most will not grow at all. So, it is possible, but not a good idea. goldfish	do goldfish grow	0
156493	6165998	12.41013	Hair Growth. Hair generally grows an average of 1/2 inch per month, with growth generally predetermined by a person's genetic code, meaning that it can only grow so fast. In a year, hair usually grows about 6 inches.	Hair Growth. Hair generally grows an average of 1/2 inch per month, with growth generally predetermined by a person's genetic code, meaning that it can only grow so fast. In a year, hair usually grows about 6 inches. goldfish	do goldfish grow	0
855410	3276027	12.336697	A mental grouping of similar things, events, and people that is used to remember and understand what things are, what they mean, and what categories or groups they belong to.	A mental grouping of similar things, events, and people that is used to remember and understand what things are, what they mean, and what categories or groups they belong to. theraderm	what is theraderm used for	0
156493	4454107	12.20056	The second year she should grow another foot to make a total of nearly …four feet in length and still growing. After the first two years, they don't grow as fast length ways but tend to fill out width wise. They can grow to be 5-6 ft in length. Making the world better, one answer at a time.	The second year she should grow another foot to make a total of nearly …four feet in length and still growing. After the first two years, they don't grow as fast length ways but tend to fill out width wise. They can grow to be 5-6 ft in length. Making the world better, one answer at a time. goldfish	do goldfish grow	0
855410	2945339	12.130771	1 used to form adjectives Resembling or imitating what is indicated: blitzoid/ cheesoid/ technoid/ zomboid.  used to form nouns Something resembling or imitating what is indicated: flakoid/ fusionoid/ Grouchoid/ klutzoid •This.	1 used to form adjectives Resembling or imitating what is indicated: blitzoid/ cheesoid/ technoid/ zomboid.  used to form nouns Something resembling or imitating what is indicated: flakoid/ fusionoid/ Grouchoid/ klutzoid •This. theraderm	what is theraderm used for	0
855410	941543	11.640307	The ability of computer systems to exchange information. with other systems. Integration. The ability of computer based applications to interact with. other systems in order to perform a useful function for the user.	The ability of computer systems to exchange information. with other systems. Integration. The ability of computer based applications to interact with. other systems in order to perform a useful function for the user. theraderm	what is theraderm used for	0
156493	7032938	11.5840025	18, 2012, 03:20 PM. Typically, mine will be 15.0 to 15.3 at 2 years and will grow another 2 to 4 inches their 3 year old year, but then will grow 2 to 4 inches during their 4 and 5 year old years.	18, 2012, 03:20 PM. Typically, mine will be 15.0 to 15.3 at 2 years and will grow another 2 to 4 inches their 3 year old year, but then will grow 2 to 4 inches during their 4 and 5 year old years. goldfish	do goldfish grow	0
583468	3325057	11.538681	Beta-blockers are used to treat high blood pressure (hypertension) , congestive heart failure (CHF) , abnormal heart rhythms (arrhythmias) , and chest pain (angina) . Beta-blockers are sometimes used in heart attack patients to prevent future heart attacks.	Beta-blockers are used to treat high blood pressure (hypertension) , congestive heart failure (CHF) , abnormal heart rhythms (arrhythmias) , and chest pain (angina) . Beta-blockers are sometimes used in heart attack patients to prevent future heart attacks. carvedilol	what carvedilol used for	0
156493	4367826	11.534768	Growth Rate. Although Colorado blue spruce may grow slowly in the first few years after planting, its growth rate picks up once it's established. Its growth rate is moderate to quick, so some trees may grow a scant 12 inches a year while others may grow upward of 24 inches in a single growing season.	Growth Rate. Although Colorado blue spruce may grow slowly in the first few years after planting, its growth rate picks up once it's established. Its growth rate is moderate to quick, so some trees may grow a scant 12 inches a year while others may grow upward of 24 inches in a single growing season. goldfish	do goldfish grow	0
156493	7032937	11.528851	May. 18, 2012, 03:20 PM. Typically, mine will be 15.0 to 15.3 at 2 years and will grow another 2 to 4 inches their 3 year old year, but then will grow 2 to 4 inches during their 4 and 5 year old years.	May. 18, 2012, 03:20 PM. Typically, mine will be 15.0 to 15.3 at 2 years and will grow another 2 to 4 inches their 3 year old year, but then will grow 2 to 4 inches during their 4 and 5 year old years. goldfish	do goldfish grow	0
