qid	docno	score_delta	text	perturbed_text	query	relevance
1127540	5865961	13.058292	: the whole number, quantity, or amount : totality. : used in such phrases as for all I know, for all I care, and for all the good it does to indicate a lack of knowledge, interest, or effectiveness. : everybody, everything. : the whole of one's possessions, resources, or energy.	: the whole number, quantity, or amount : totality. : used in such phrases as for all I know, for all I care, and for all the good it does to indicate a lack of knowledge, interest, or effectiveness. : everybody, everything. : the whole of one's possessions, resources, or energy. shebang	meaning of shebang	0
855410	7128710	12.678347	It is used to trap sunlight for the manufacturing of food.	It is used to trap sunlight for the manufacturing of food. theraderm	what is theraderm used for	0
1127540	984503	12.455117	5. whole (adv.) to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly')	5. whole (adv.) to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly') shebang	meaning of shebang	0
855410	3276027	12.336697	A mental grouping of similar things, events, and people that is used to remember and understand what things are, what they mean, and what categories or groups they belong to.	A mental grouping of similar things, events, and people that is used to remember and understand what things are, what they mean, and what categories or groups they belong to. theraderm	what is theraderm used for	0
855410	8751749	12.312429	: to add moisture to (something, such as a person's skin)	: to add moisture to (something, such as a person's skin) theraderm	what is theraderm used for	0
855410	2945339	12.130771	1 used to form adjectives Resembling or imitating what is indicated: blitzoid/ cheesoid/ technoid/ zomboid.  used to form nouns Something resembling or imitating what is indicated: flakoid/ fusionoid/ Grouchoid/ klutzoid •This.	1 used to form adjectives Resembling or imitating what is indicated: blitzoid/ cheesoid/ technoid/ zomboid.  used to form nouns Something resembling or imitating what is indicated: flakoid/ fusionoid/ Grouchoid/ klutzoid •This. theraderm	what is theraderm used for	0
855410	5708492	11.754907	Plants use food to make food and oxygen. The plant then uses this food to create energy released in cellular respiration.	Plants use food to make food and oxygen. The plant then uses this food to create energy released in cellular respiration. theraderm	what is theraderm used for	0
855410	941543	11.640307	The ability of computer systems to exchange information. with other systems. Integration. The ability of computer based applications to interact with. other systems in order to perform a useful function for the user.	The ability of computer systems to exchange information. with other systems. Integration. The ability of computer based applications to interact with. other systems in order to perform a useful function for the user. theraderm	what is theraderm used for	0
855410	7238608	11.577425	How To Moisturize Dry Hair: The cosmetic products generally over load your hair with chemicals. The regular use of these chemical products can sometimes damage the moisture of the hair. The natural oil produced by the hair is the best natural moisturizer.	How To Moisturize Dry Hair: The cosmetic products generally over load your hair with chemicals. The regular use of these chemical products can sometimes damage the moisture of the hair. The natural oil produced by the hair is the best natural moisturizer. theraderm	what is theraderm used for	0
855410	6978945	11.417385	Noun. 1. skincare-care for the skin. skin care.	Noun. 1. skincare-care for the skin. skin care. theraderm	what is theraderm used for	0
768208	7981480	11.368819	sapodilla plum; sapota; sapodilla Hypernyms (sapota is a kind of...): edible fruit (edible reproductive body of a seed plant especially one having sweet flesh)	sapodilla plum; sapota; sapodilla Hypernyms (sapota is a kind of...): edible fruit (edible reproductive body of a seed plant especially one having sweet flesh) mamey	what is mamey	0
